"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2019",11.47,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2018",12.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2017",13.62,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2016",15.42,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2015",17.19,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2014",18.05,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2013",15.87,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2012",13.38,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2011",13.48,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2010",14.09,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2009",13.67,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2008",13.06,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2007",15.97,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Living Standards Survey","Sex: Total","Age (Youth, adults): 15+","2005",6.57,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Living Standards Survey","Sex: Total","Age (Youth, adults): 15+","2002",4.61,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Household Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2021",10.01,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Household Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2020",12.18,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Household Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2019",12.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Household Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2018",13.21,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Household Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2017",17.7,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Household Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2016",17.62,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Household Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2015",18.26,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Household Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2014",17.5,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Household Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2008",22.97,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 15+","2013",16.58,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 15+","2012",17.51,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 15+","2011",18.88,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 15+","2010",19.52,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 15+","2009",19.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 15+","2007",10.39,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2022",5.65,,,"Unemployment definition: Two criteria (not in employment and currently available)","Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2021",6.04,,,"Unemployment definition: Two criteria (not in employment and currently available)","Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 61.5 years old"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2020",7.24,,,"Unemployment definition: Two criteria (not in employment and currently available)","Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for men and 61 for women"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2019",5,,,"Unemployment definition: Two criteria (not in employment and currently available)","Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 63.5 for men and 60.5 for women"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2018",4.9,,"Nonstandard age group: Excluding ages 71+",,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2017",5,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2016",5,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2015",4.96,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2014",4.91,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2013",4.97,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2012",5.19,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2011",5.42,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2010",5.63,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2009",5.74,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2008",5.86,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2007",6.33,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2006",6.62,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2005",7.26,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2004",7.99,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2003",9.17,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2002",10.04,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2001",10.91,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2022",4.27,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2021",5.27,"Break in series",,"Break in series: Methodology revised","Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2020",5.12,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2019",4.23,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2018",5.21,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2017",6.16,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2016",7.57,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2015",9.14,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2014",11.42,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2013",12.94,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2012",12.27,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2011",11.26,"Break in series",,"Break in series: Methodology revised","Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2010",10.28,"Break in series",,"Break in series: Methodology revised","Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2009",6.82,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2008",5.61,"Break in series",,"Break in series: Methodology revised","Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2007",6.88,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2006",8.95,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2005",10.08,"Break in series",,"Break in series: Methodology revised","Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2004",12.04,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2003",13.73,"Break in series",,"Break in series: Methodology revised","Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2002",18.11,,,,"Repository: Eurostat special tabulation"
"Bulgaria","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - EU Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2001",19.92,"Break in series",,"Break in series: Methodology revised","Repository: Eurostat special tabulation"
"Bosnia and Herzegovina","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2022",12.66,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2021",14.9,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2020",15.87,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2019",15.69,,,,"Repository: ILO-STATISTICS - Micro data processing"
